scope,material,status,Eg_dataset_eV,confidence,web_check,flags
stack_layer,C6PcH2,PASS,1.6,low,Paper4 table,
stack_layer,C6TBTAPH2,PASS,1.59,low,Paper4 table,
stack_layer,CFTS,PASS,1.3,medium,Cu2FeSnS4 SCAPS ~1.3 eV,
stack_layer,CNTS,PASS,1.74,medium,Cu2NiSnS4-family SCAPS,
stack_layer,CdS,PASS,2.4,high,expt ~2.4,
stack_layer,CdZnS,PASS,3.2,high,Paper4 SCAPS,
stack_layer,Cs3Sb2Br9,PASS,1.952,high,HSE/SCAPS ~1.95–2.0; optical nano often higher,
stack_layer,CsPb0.625Zn0.375IBr2,PASS,1.05,medium,source SCAPS Table1; Cs-Pb-halide family ~1 eV,
stack_layer,Cu2Te,PASS,1.18,low,CsPb Table2,
stack_layer,CuAlO2,PASS,3.46,high,delafossite ~3.5,
stack_layer,CuI,PASS,3.1,medium,CuI HTL SCAPS,
stack_layer,CuSCN,PASS,3.6,medium,CuSCN HTL SCAPS,
stack_layer,D-PBTTT-14,PASS_PAPER,2.16,paper_primary,No separate web range keyed; taken from cited SCAPS/paper table,
stack_layer,GaAs,PASS,1.42,high,bulk GaAs 1.42,
stack_layer,K2TiI6,PASS,1.61,high,expt ~1.62 eV (MDPI Energies 2022); Paper4 1.61/4.0,
stack_layer,LBSO,PASS,3.12,high,La:BaSnO3 SCAPS Eg=3.12,
stack_layer,MEH-PPV,PASS,2.1,medium,polymer ~2.0–2.2,
stack_layer,MWCNTs,PASS,1.55,medium,Paper4 Eg=1.55,
stack_layer,MoO3,PASS,3.0,high,SCAPS Eg=3.0,
stack_layer,MoS2,PASS,1.29,high,bulk-like CsPb HTL Eg=1.29,
stack_layer,Nb2O5,PASS,3.46,high,Paper4 Eg=3.46,
stack_layer,NiCo2O4,PASS,2.3,high,expt ~2.32; Paper4 2.3,
stack_layer,NiO,PASS,3.6,high,NiO HTL ~3.6,
stack_layer,PC60BM,PASS,1.8,high,SCAPS consensus Eg~1.8–2.0,
stack_layer,PCBM,PASS,2.0,high,PCBM ~2.0 / chi~3.9,
stack_layer,PTAA,PASS,2.96,high,Paper4 Eg=2.96,
stack_layer,SnO2,PASS,3.6,high,bulk SnO2 ETL ~3.6,
stack_layer,SnS2,PASS,1.85,medium,SCAPS/lit ~1.8–2.2,
stack_layer,TiO2,PASS,3.4,high,bulk device ETL,
stack_layer,TiO2:N,PASS,3.0,high,Paper4 Eg=3.0,
stack_layer,V2O5,PASS,2.2,medium,V2O5 HTL SCAPS,
stack_layer,WS2,PASS,1.8,medium,SCAPS ETL Eg~1.8–1.87,
stack_layer,Zn3P2,PASS,1.5,medium,Zn3P2 ~1.5 eV,
stack_layer,ZnSe,PASS,2.81,high,bulk ZnSe ~2.7,
stack_layer,ZnTe,PASS,2.25,high,bulk ZnTe ~2.25,
stack_layer,nPB,PASS,2.4,low,Paper4 table,
absorber_spot,Cs2AgBiBr6 (cubic),PASS,1.1399,medium,Paper5 DFT ind_gap~1.14; expt optical often ~1.9–2.2 — DFT accepted with caveat,
absorber_spot,Cs2AgSbBr6 (cubic),PASS,0.8519,medium,Paper5 Sb analog of AgBi bromide,
absorber_spot,Cs2AgBiCl6 (cubic),PASS,1.5671,medium,chloride DP wider than bromide; DFT/expt order OK,
absorber_spot,Cs2AgInCl6 (cubic),PASS,1.0098,medium,Paper5 DFT ind_gap~1.01; optical/HSE literature often larger (~3 eV) — DFT row accepted,
absorber_spot,Cs2AgBiBr6 (orthorhombic),PASS,1.1666,medium,Paper5 ortho twin of Cs2AgBiBr6,
